年龄,是否离职,出差频率,日薪,部门,离家距离,教育程度,教育领域,员工计数,员工编号,环境满意度,性别,时薪,工作投入度,职位等级,职位角色,工作满意度,婚姻状况,月收入,月费率,曾工作公司数,是否满18岁,是否加班,薪资涨幅百分比,绩效评级,关系满意度,标准工时,股票期权等级,总工作年限,去年培训次数,工作生活平衡,本公司工作年限,现任职位年限,上次晋升至今年限,现任经理共事年限
41,是,偶尔出差,1102,Sales,1,2,Life Sciences,1,1,2,女,94,3,2,Sales Executive,4,单身,5993,19479,8,Y,是,11,3,1,80,0,8,0,1,6,4,0,5
49,否,经常出差,279,Research & Development,8,1,Life Sciences,1,2,3,男,61,2,2,Research Scientist,2,已婚,5130,24907,1,Y,否,23,4,4,80,1,10,3,3,10,7,1,7
37,是,偶尔出差,1373,Research & Development,2,2,Other,1,4,4,男,92,2,1,Laboratory Technician,3,单身,2090,2396,6,Y,是,15,3,2,80,0,7,3,3,0,0,0,0
33,否,经常出差,1392,Research & Development,3,4,Life Sciences,1,5,4,女,56,3,1,Research Scientist,3,已婚,2909,23159,1,Y,是,11,3,3,80,0,8,3,3,8,7,3,0
27,否,偶尔出差,591,Research & Development,2,1,Medical,1,7,1,男,40,3,1,Laboratory Technician,2,已婚,3468,16632,9,Y,否,12,3,4,80,1,6,3,3,2,2,2,2
32,否,经常出差,1005,Research & Development,2,2,Life Sciences,1,8,4,男,79,3,1,Laboratory Technician,4,单身,3068,11864,0,Y,否,13,3,3,80,0,8,2,2,7,7,3,6
59,否,偶尔出差,1324,Research & Development,3,3,Medical,1,10,3,女,81,4,1,Laboratory Technician,1,已婚,2670,9964,4,Y,是,20,4,1,80,3,12,3,2,1,0,0,0
30,否,偶尔出差,1358,Research & Development,24,1,Life Sciences,1,11,4,男,67,3,1,Laboratory Technician,3,离异,2693,13335,1,Y,否,22,4,2,80,1,1,2,3,1,0,0,0
38,否,经常出差,216,Research & Development,23,3,Life Sciences,1,12,4,男,44,2,3,Manufacturing Director,3,单身,9526,8787,0,Y,否,21,4,2,80,0,10,2,3,9,7,1,8
36,否,偶尔出差,1299,Research & Development,27,3,Medical,1,13,3,男,94,3,2,Healthcare Representative,3,已婚,5237,16577,6,Y,否,13,3,2,80,2,17,3,2,7,7,7,7
35,否,偶尔出差,809,Research & Development,16,3,Medical,1,14,1,男,84,4,1,Laboratory Technician,2,已婚,2426,16479,0,Y,否,13,3,3,80,1,6,5,3,5,4,0,3
29,否,偶尔出差,153,Research & Development,15,2,Life Sciences,1,15,4,女,49,2,2,Laboratory Technician,3,单身,4193,12682,0,Y,是,12,3,4,80,0,10,3,3,9,5,0,8
31,否,偶尔出差,670,Research & Development,26,1,Life Sciences,1,16,1,男,31,3,1,Research Scientist,3,离异,2911,15170,1,Y,否,17,3,4,80,1,5,1,2,5,2,4,3
34,否,偶尔出差,1346,Research & Development,19,2,Medical,1,18,2,男,93,3,1,Laboratory Technician,4,离异,2661,8758,0,Y,否,11,3,3,80,1,3,2,3,2,2,1,2
28,是,偶尔出差,103,Research & Development,24,3,Life Sciences,1,19,3,男,50,2,1,Laboratory Technician,3,单身,2028,12947,5,Y,是,14,3,2,80,0,6,4,3,4,2,0,3
29,否,偶尔出差,1389,Research & Development,21,4,Life Sciences,1,20,2,女,51,4,3,Manufacturing Director,1,离异,9980,10195,1,Y,否,11,3,3,80,1,10,1,3,10,9,8,8
32,否,偶尔出差,334,Research & Development,5,2,Life Sciences,1,21,1,男,80,4,1,Research Scientist,2,离异,3298,15053,0,Y,是,12,3,4,80,2,7,5,2,6,2,0,5
22,否,不出差,1123,Research & Development,16,2,Medical,1,22,4,男,96,4,1,Laboratory Technician,4,离异,2935,7324,1,Y,是,13,3,2,80,2,1,2,2,1,0,0,0
53,否,偶尔出差,1219,Sales,2,4,Life Sciences,1,23,1,女,78,2,4,Manager,4,已婚,15427,22021,2,Y,否,16,3,3,80,0,31,3,3,25,8,3,7
38,否,偶尔出差,371,Research & Development,2,3,Life Sciences,1,24,4,男,45,3,1,Research Scientist,4,单身,3944,4306,5,Y,是,11,3,3,80,0,6,3,3,3,2,1,2
24,否,不出差,673,Research & Development,11,2,Other,1,26,1,女,96,4,2,Manufacturing Director,3,离异,4011,8232,0,Y,否,18,3,4,80,1,5,5,2,4,2,1,3
